Number of variables,Number of clauses,result 7/8,time 7/8,result RC2,time RC2
23,700,644,0.18186688423156738,652,51.34637975692749
23,700,639,0.1718432903289795,651,34.743438482284546
23,800,728,0.1986994743347168,743,119.44689869880676
23,800,737,0.19936180114746094,744,81.447105884552
23,800,733,0.20407342910766602,742,93.64264011383057
23,800,734,0.20861434936523438,745,45.4112823009491
23,800,726,0.20544719696044922,737,620.8084442615509
23,900,815,0.24992656707763672,828,631.1633734703064
23,900,824,0.23326826095581055,831,230.3558120727539
23,900,829,0.34011149406433105,832,237.24360513687134
23,900,828,0.23903942108154297,831,450.88631534576416
23,900,831,0.24335360527038574,835,182.08573865890503
